Date,Open,Close/Last,High,Low
11/25/2021,57746.4,57815.7,59151.1,57696.6
11/24/2021,56402.5,57272.3,58262.9,57127.1
11/23/2021,56932.2,56578.8,57697.4,56171.3
11/22/2021,57399.8,56902.1,57243.9,56024.2
11/21/2021,58679,57290,58719.7,57203.6
11/20/2021,58543.1,58654.6,59771.9,58598.5
11/19/2021,55903.4,58425.7,58982.4,57963
11/18/2021,59862.2,56147.5,57502.4,55626.3
11/17/2021,59037.2,59941.3,60936.9,59661.5
11/16/2021,61258.5,58999.1,60398.7,58584
11/15/2021,65776.6,61418.5,63605.6,60375.5
11/14/2021,64743.7,65736.6,66160.7,65514.9
11/13/2021,63701,64749.6,65289.1,64397.2
11-12-2021,64921.3,63800.9,64417,63584.4
11-11-2021,64642,65005.4,65449.7,64158.4
11-10-2021,66644.3,64556.4,65042.2,64121.9
11-09-2021,68277.9,66627.7,67357.6,66263.9
11-08-2021,65181.3,68205.4,68493.3,67169.7
11-07-2021,62194.2,65164.5,65575.3,63276.4
11-06-2021,61132.9,62091.7,62307.7,61347.2
11-05-2021,62242.1,61078.6,61289.5,60828.8
11-04-2021,62439.2,62139.5,62326.3,60856.7
11-03-2021,63211.6,62464,63077.6,62293.8
11-02-2021,61091.8,63041.7,63508.6,62810.7
11-01-2021,59952.3,61098.7,61523.4,60651.5
10/31/2021,61699.2,60086.2,61733.9,60019.3
10/30/2021,61667.6,61648.6,62393.7,61617.3
10/29/2021,61661.1,61707.2,62338.5,61646.6
10/28/2021,58791.6,61558.1,62009.1,60322.2
10/27/2021,60536.2,58791.1,58946.1,58128.1
10/26/2021,62738.2,60708.6,60830.4,60159.3
10/25/2021,61955.9,62688.4,63275.1,62647.9
10/24/2021,61197.5,62094.3,62214.4,60655.8
10/23/2021,61133.6,61253.3,61469.9,60829.3
10/22/2021,62840.3,61162.7,61243.3,60434.1
10/21/2021,65070.5,63145,63305.5,62152.8
10/20/2021,63847.2,64998.5,66004.7,64125.9
10/19/2021,62603.8,63918.7,64343.4,63750.8
10/18/2021,62126.1,62643.6,62954,61692.9
10/17/2021,61133.8,62055.5,62563.5,61415.4
10/16/2021,61624,61159,61333.9,60511.2
10/15/2021,59435.5,61426.5,61736.8,61123.2
10/14/2021,58071.6,59323.5,59417.7,56874.8
10/13/2021,56279.9,58168.4,58506.5,57149.8
10-12-2021,56673.3,56297.4,56537.3,55845.3
10-11-2021,56505.4,56704.4,57480.6,56438.3
10-10-2021,55076.9,56534.9,56681.6,54457.8
10-09-2021,54583.6,54868.6,55169.9,54100.8
10-08-2021,53802.5,54637.5,54681.9,53711.7
10-07-2021,54818.2,53810.6,54418.1,53716.1
10-06-2021,51537.3,54966.6,55325.2,54162.7
10-05-2021,49302.5,51540.8,51604.6,50993
10-04-2021,47486.7,49210.2,49760.2,49060.1
10-03-2021,47882.1,47498.3,48285,47398.7
10-02-2021,47533.6,47662.7,47800.5,47123
10-01-2021,43621.5,47548,48226.6,47509.1
09/30/2021,43627.3,43467.3,44011.5,43292.9
09/29/2021,42162.2,43446.4,43495.4,41416.7
09/28/2021,42553.8,42092.6,42108.5,40815
09/27/2021,41960.3,43863.5,44293.2,42949.7
09/26/2021,42199.8,43889.5,44293.2,42949.7
09/25/2021,42634.9,42234.2,42737.6,41943.9
09/24/2021,44289,42654.1,42944,42073.8
09/23/2021,44070,44365.4,44977.5,44336.6
09/22/2021,42051.4,43959.2,44162.9,43090.1
